PL_Index,LP_Index,Pivot_Energy,PLEC_Flux_Density,LP_Flux_Density,PL_Flux_Density,Frac_Variability,Variability_Index,Npred,LP_beta,LP_SigCurv,Energy_Flux100,PLEC_SigCurv,Flux1000,Signif_Avg,PLEC_Exp_Index,Source_Name,ASSOC_FGL,CLASS1,ASSOC1
2.018631,1.9197568,1330.3015,1.3414713e-12,1.3861759e-12,1.2934737e-12,0.4184122,234.30939,3737.4302,0.06380718,4.9924746,2.208839e-11,5.3761516,2.3799054e-09,64.89692,0.6666667,4FGL J0009.3+5030,3FGL J0009.3+5030,bll,NVSS J000922+503028
2.124825,2.0990863,1811.7891,7.954292e-14,8.0521276e-14,7.5305796e-14,0.22463594,17.160936,524.95074,0.043126795,0.9134399,2.6316202e-12,0.7174914,2.3541002e-10,13.523349,0.6666667,4FGL J0009.8-4317,,bll,SUMSS J000949-431654
2.1793685,2.131156,2696.0554,1.8392651e-14,1.6521437e-14,1.581995e-14,0.27680176,17.651344,233.3829,0.041002452,0.0,1.3172744e-12,1.3204186,1.1600476e-10,5.362248,0.6666667,4FGL J0009.8+1340,,bcu,RX J0009.9+1341
2.9367661,2.9344683,414.85593,1.5620192e-12,1.5667e-12,1.4879398e-12,0.2574764,14.886085,590.77747,0.043343656,0.3623642,1.6585112e-12,0.0,5.8022618e-11,5.3157153,0.6666667,4FGL J0009.8-6358,,bcu,PMN J0009-6357
2.3850918,2.3704016,1345.3511,1.1967933e-13,1.165011e-13,1.1512941e-13,0.7932924,41.120056,480.3494,0.010747417,0.0,2.1938066e-12,0.0,1.6842437e-10,6.997116,0.6666667,4FGL J0010.6+2043,,fsrq,TXS 0007+205
2.4492016,2.313965,571.9983,3.049663e-12,3.1576564e-12,2.8134602e-12,0.72519034,175.40004,1599.0161,0.13081881,3.4981625,5.963366e-12,3.3811245,5.170111e-10,24.288837,0.6666667,4FGL J0010.6-3025,,fsrq,PKS 0008-307
2.344206,2.3162148,1299.9877,8.843943e-14,8.731035e-14,8.3860165e-14,0.0,12.840211,336.59976,0.029662235,0.11312366,1.4469172e-12,0.0,1.15196006e-10,6.0495462,0.6666667,4FGL J0010.8-2154,,bcu,PKS 0008-222
2.4706922,2.467413,1144.902,9.390554e-14,9.4290054e-14,8.52684e-14,0.0,11.567567,320.915,0.074262016,0.6527928,1.1521093e-12,0.0,8.093508e-11,4.388951,0.6666667,4FGL J0011.4-4110,,bcu,PMN J0011-4105
2.3666093,2.2577264,724.0235,2.4866882e-12,2.541146e-12,2.3587419e-12,0.9433384,346.11282,1878.826,0.087792344,2.9530268,8.964632e-12,3.2885711,8.499356e-10,28.245321,0.6666667,4FGL J0011.4+0057,2FGL J0011.3+0054,fsrq,RX J0011.5+0058
1.9457566,1.8749028,3987.461,9.189905e-15,9.314358e-15,8.377048e-15,0.55554736,22.145918,211.80695,0.063446805,0.69376266,1.4640618e-12,0.0,1.2899691e-10,7.793412,0.6666667,4FGL J0011.8-3142,,bcu,SUMSS J001141-314220
2.4018137,2.389481,1973.2552,1.4323564e-13,1.4320667e-13,1.367212e-13,0.5119396,38.12263,1178.786,0.034502678,0.8187168,6.597056e-12,0.64601403,4.984154e-10,12.205895,0.6666667,4FGL J0012.0+7043,3FGL J0012.4+7040,bcu,TXS 0008+704
2.2566066,2.2030294,1677.0107,1.0158363e-13,1.0164886e-13,9.258879e-14,1.2962931,106.5736,604.6024,0.07071253,1.2203633,2.7822326e-12,1.2974049,2.3595953e-10,11.10404,0.6666667,4FGL J0013.0+3355,,fsrq,GB6 J0012+3353
2.0667396,1.9156355,1412.678,2.948429e-13,3.089228e-13,2.7295543e-13,0.31255382,32.80153,820.33154,0.12476611,3.403462,4.5596916e-12,3.157322,5.6849353e-10,24.767956,0.6666667,4FGL J0013.1-3955,3FGL J0013.2-3954,bll,PKS 0010-401
1.971606,2.0196164,4803.59,9.207507e-15,8.382997e-15,9.381314e-15,0.15063366,20.064354,302.8549,-0.053171266,1.0923977,2.3710224e-12,0.0,2.106924e-10,9.273533,0.6666667,4FGL J0013.4+0950,,bcu,1RXS J001328.4+094942
2.1819768,2.1840904,2385.9421,4.245919e-14,4.2377133e-14,4.2604304e-14,0.8896143,42.150116,465.82797,-0.0024080246,0.0,2.7210872e-12,0.0,2.3939575e-10,9.183543,0.6666667,4FGL J0013.6-0424,,fsrq,PKS 0011-046
1.9045731,1.9028138,3299.1636,2.5968038e-14,2.5842525e-14,2.5753132e-14,0.0,8.5906105,391.6123,0.0017264704,0.0,3.1456998e-12,0.0,2.722676e-10,14.7916355,0.6666667,4FGL J0013.9-1854,3FGL J0013.9-1853,bll,RBS 0030
2.356777,2.2126043,1146.0089,2.6608303e-13,2.6981341e-13,2.2143915e-13,0.73931456,40.66387,466.9619,0.1911518,2.4174051,2.140803e-12,2.4910264,2.5964922e-10,9.59528,0.6666667,4FGL J0014.1+1910,2FGL J0013.8+1907,bll,MG3 J001356+1910
2.1073663,2.1042442,2240.8513,5.6783317e-14,5.6527757e-14,5.640097e-14,0.23754619,14.434306,619.1396,0.0022695365,0.0,3.090025e-12,0.0,2.772573e-10,13.948918,0.6666667,4FGL J0014.1-5022,3FGL J0014.0-5025,bll,RBS 0032
2.501718,2.5016532,1091.1918,2.1281612e-13,2.1680566e-13,2.1826563e-13,0.31550595,16.298855,587.9956,-0.0010134939,0.0,2.6667373e-12,0.0,1.8070086e-10,5.9672127,0.6666667,4FGL J0014.2+0854,,bll,MS 0011.7+0837
2.3709893,2.33741,1660.8405,1.760732e-13,1.7687115e-13,1.6489098e-13,0.3681978,27.607225,1055.4857,0.06340612,1.1600959,5.141185e-12,1.1370021,3.9986894e-10,14.114299,0.6666667,4FGL J0014.3-0500,3FGL J0014.3-0455,bcu,GALEXASC J001420.46-045929.1
1.7710534,1.5650905,6929.809,6.955079e-15,7.59911e-15,5.9763913e-15,0.2576234,15.14013,184.95749,0.1726677,2.5671787,2.6091993e-12,2.120904,2.0120372e-10,11.777328,0.6666667,4FGL J0014.7+5801,3FGL J0014.7+5802,bll,1RXS J001442.2+580201
2.0914214,1.963949,2970.0845,1.02293506e-13,1.0584308e-13,9.241718e-14,0.0,12.158702,1007.04553,0.11534812,3.2072062,7.0648517e-12,3.3188863,8.4560664e-10,19.224836,0.6666667,4FGL J0014.8+6118,3FGL J0014.6+6119,bcu,4C +60.01
2.5661864,2.4546266,555.2084,2.9223353e-12,3.0043698e-12,2.5389719e-12,0.44728386,46.274044,1402.8284,0.16557136,3.3698306,5.1013946e-12,3.3056326,3.6832867e-10,16.589058,0.6666667,4FGL J0014.9+3212,,bcu,3C 6
1.9551985,1.9616235,4967.872,4.969804e-15,4.687125e-15,4.805652e-15,0.0,15.013011,191.4454,-0.012485007,0.0,1.2913264e-12,0.0,1.1415904e-10,6.9896655,0.6666667,4FGL J0015.2+3537,,bll,RX J0015.4+3536
1.820141,1.8175685,7268.966,8.346985e-15,8.0659754e-15,8.043571e-15,0.0,13.38414,500.7609,0.002194594,0.0,4.3148636e-12,0.0,3.5445122e-10,16.470945,0.6666667,4FGL J0015.6+5551,3FGL J0015.7+5552,bll,GB6 J0015+5551
2.137794,2.0977697,2113.031,6.360266e-14,6.413591e-14,6.0833154e-14,0.19884299,16.819736,537.43085,0.03892952,0.6087496,2.9518942e-12,0.12429352,2.6330024e-10,12.1987915,0.6666667,4FGL J0015.9+2440,,bll,GB6 J0016+2440
2.737509,2.6349397,443.26532,7.1028426e-12,7.258816e-12,6.104499e-12,0.65228546,140.62033,1805.8726,0.18789475,4.112043,7.2055274e-12,4.0788093,3.5679915e-10,19.939705,0.6666667,4FGL J0016.2-0016,3FGL J0016.3-0013,fsrq,S3 0013-00
2.7106428,2.6142416,592.02905,9.760902e-13,9.857296e-13,8.116044e-13,0.5252061,22.953808,581.09796,0.19213323,1.5862329,2.2530638e-12,1.6352985,1.14591565e-10,4.9909987,0.6666667,4FGL J0016.5+1702,3FGL J0016.5+1713,fsrq,GB6 J0015+1700
2.2992733,2.2593982,1195.0275,4.596137e-13,4.706041e-13,4.3902178e-13,0.3277953,39.600334,1207.9503,0.054514118,1.5168988,6.159316e-12,1.2582579,5.078491e-10,20.323252,0.6666667,4FGL J0017.0-0649,3FGL J0017.2-0643,bcu,PMN J0017-0650
